scats_id,timestamp,lat,lon,location,flow_hourly,day_of_week,is_weekend,hour_of_day
0970,2006-10-06 18:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4637,4,False,18
0970,2006-10-06 19:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3267,4,False,19
0970,2006-10-06 20:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,2066,4,False,20
0970,2006-10-06 21:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1996,4,False,21
0970,2006-10-06 22:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1435,4,False,22
0970,2006-10-06 23:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1168,4,False,23
0970,2006-10-07 00:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,718,5,True,0
0970,2006-10-07 01:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,454,5,True,1
0970,2006-10-07 02:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,300,5,True,2
0970,2006-10-07 03:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,248,5,True,3
0970,2006-10-07 04:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,194,5,True,4
0970,2006-10-07 05:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,315,5,True,5
0970,2006-10-07 06:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,856,5,True,6
0970,2006-10-07 07:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1386,5,True,7
0970,2006-10-07 08:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,2555,5,True,8
0970,2006-10-07 09:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3355,5,True,9
0970,2006-10-07 10:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3925,5,True,10
0970,2006-10-07 11:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4261,5,True,11
0970,2006-10-07 12:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4488,5,True,12
0970,2006-10-07 13:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4246,5,True,13
0970,2006-10-07 14:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3989,5,True,14
0970,2006-10-07 15:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3821,5,True,15
0970,2006-10-07 16:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3886,5,True,16
0970,2006-10-07 17:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3950,5,True,17
0970,2006-10-07 18:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3716,5,True,18
0970,2006-10-07 19:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,2548,5,True,19
0970,2006-10-07 20:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1678,5,True,20
0970,2006-10-07 21:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1465,5,True,21
0970,2006-10-07 22:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1417,5,True,22
0970,2006-10-07 23:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1476,5,True,23
0970,2006-10-08 00:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1051,6,True,0
